variable,coef,estimate,std.error,p.value,spec,L,estimator
tmp2_pre2,sum,-1.6073706643416266e-4,6.0997361117728553e-5,0.008410063573072593,Interactive,0,AFE
tmp2_pre2,b0,-1.6073706643416266e-4,6.0997361117728553e-5,0.008410063573072593,Interactive,0,AFE
tmp,sum,0.012276113947756323,0.003817274640477726,0.001300194674275538,Interactive,0,IFE
tmp,b0,0.012276113947756323,0.003817274640477726,0.001300194674275538,Interactive,0,IFE
tmp2,sum,-4.7273133679506135e-4,1.2338738238641315e-4,1.2747947999267997e-4,Interactive,0,IFE
tmp2,b0,-4.7273133679506135e-4,1.2338738238641315e-4,1.2747947999267997e-4,Interactive,0,IFE
pre,sum,0.09138927071609892,0.051650579520551985,0.07683122899998446,Interactive,0,IFE
pre,b0,0.09138927071609892,0.051650579520551985,0.07683122899998446,Interactive,0,IFE
pre2,sum,-0.057139456960584235,0.02580064400892777,0.026783935634860267,Interactive,0,IFE
pre2,b0,-0.057139456960584235,0.02580064400892777,0.026783935634860267,Interactive,0,IFE
tmp_pre,sum,-0.010366475296529419,0.004957986787644354,0.036540271310895815,Interactive,0,IFE
tmp_pre,b0,-0.010366475296529419,0.004957986787644354,0.036540271310895815,Interactive,0,IFE
tmp2_pre,sum,3.142440123660261e-4,1.338732522432213e-4,0.018908760713162394,Interactive,0,IFE
tmp2_pre,b0,3.142440123660261e-4,1.338732522432213e-4,0.018908760713162394,Interactive,0,IFE
pre2_tmp,sum,0.005299407616532271,0.002250922504501631,0.01855627933038804,Interactive,0,IFE
pre2_tmp,b0,0.005299407616532271,0.002250922504501631,0.01855627933038804,Interactive,0,IFE
tmp2_pre2,sum,-1.300221533998656e-4,5.234293056446617e-5,0.012989968135343286,Interactive,0,IFE
tmp2_pre2,b0,-1.300221533998656e-4,5.234293056446617e-5,0.012989968135343286,Interactive,0,IFE
tmp,sum,0.008433390847182486,0.006563455908179838,0.19882689279273283,Interactive,1,AFE
tmp,b0,0.017395616704392318,0.004137994896902657,2.6238292084793403e-5,Interactive,1,AFE
tmp,b1,-0.008962225857209832,0.004476707388268892,0.0452881511406597,Interactive,1,AFE
tmp2,sum,-3.078564905313185e-4,2.2376487264681177e-4,0.16888248371060602,Interactive,1,AFE
tmp2,b0,-6.370785564435261e-4,1.4754209473445877e-4,1.5748911392402153e-5,Interactive,1,AFE
tmp2,b1,3.292220659122076e-4,1.5055896710088938e-4,0.028766968009129826,Interactive,1,AFE
pre,sum,0.07272089490982156,0.057515323059270304,0.20609572164352083,Interactive,1,AFE
pre,b0,0.10019574305607581,0.04390942193485315,0.02249681417583204,Interactive,1,AFE
pre,b1,-0.027474848146254262,0.03950355317165825,0.4867399984897344,Interactive,1,AFE
pre2,sum,-0.05402538033487693,0.03336844852290159,0.10543525631288188,Interactive,1,AFE
pre2,b0,-0.06443820827958217,0.02720638978159604,0.017860603849347696,Interactive,1,AFE
pre2,b1,0.01041282794470524,0.02148827698557855,0.6279730263277228,Interactive,1,AFE
tmp_pre,sum,-0.004659782339086321,0.0062133009841171035,0.45327345174785144,Interactive,1,AFE
tmp_pre,b0,-0.012031503179149883,0.004794433220822745,0.012091128290499267,Interactive,1,AFE
tmp_pre,b1,0.007371720840063562,0.0038393675418172467,0.05485345287421512,Interactive,1,AFE
tmp2_pre,sum,1.0528594345324347e-4,1.887974354812367e-4,0.5770723602023682,Interactive,1,AFE
tmp2_pre,b0,3.7701728499275905e-4,1.4107017886552225e-4,0.007527687150253548,Interactive,1,AFE
tmp2_pre,b1,-2.7173134153951557e-4,1.2118254700120576e-4,0.02494000909891377,Interactive,1,AFE
