ssp,spec,estimator,L,ISO_C3,delta_2100
SSP585,Direct,AFE,0,YEM,-0.9122135962231628
SSP585,Direct,AFE,0,ZAF,-0.7187888194973217
SSP585,Direct,AFE,0,ZMB,-0.878683815138032
SSP585,Direct,AFE,0,ZWE,-0.864715012207409
SSP585,Direct,IFE,0,AFG,-0.18855673482125357
SSP585,Direct,IFE,0,AGO,-0.7948750206439017
SSP585,Direct,IFE,0,ALB,-0.49560255256449426
SSP585,Direct,IFE,0,ARE,-0.9324541905107728
SSP585,Direct,IFE,0,ARG,-0.5399808511299045
SSP585,Direct,IFE,0,AUS,-0.5500287476696291
SSP585,Direct,IFE,0,AUT,0.21700743539587353
SSP585,Direct,IFE,0,AZE,-0.39863125142364686
SSP585,Direct,IFE,0,BEL,-0.07156787066502246
SSP585,Direct,IFE,0,BEN,-0.8692101961174747
SSP585,Direct,IFE,0,BFA,-0.9158104521892018
SSP585,Direct,IFE,0,BGD,-0.8459114159629568
SSP585,Direct,IFE,0,BGR,-0.36791137175749544
SSP585,Direct,IFE,0,BHS,-0.6417718498694072
SSP585,Direct,IFE,0,BIH,-0.2579704065383175
SSP585,Direct,IFE,0,BLR,0.504439793341932
SSP585,Direct,IFE,0,BLZ,-0.8636766567256836
